time,y
2000-06-22 00:00:00,27.82051282
2000-06-23 00:00:00,28
2000-06-26 00:00:00,30.20833333
2000-06-27 00:00:00,30.96153846
2000-06-28 00:00:00,31.34615385
2000-06-29 00:00:00,31.96428571
2000-06-30 00:00:00,32.14285714
2000-07-03 00:00:00,30.71428571
2000-07-04 00:00:00,32.60869565
2000-07-05 00:00:00,31.4
2000-07-06 00:00:00,30.38461538
2000-07-07 00:00:00,25.76923077
2000-07-10 00:00:00,19.0625
2000-07-11 00:00:00,19.70588235
2000-07-12 00:00:00,21.25
2000-07-13 00:00:00,22.05882353
2000-07-14 00:00:00,22.94117647
2000-07-17 00:00:00,22.60869565
2000-07-18 00:00:00,24.25
2000-07-19 00:00:00,24.375
2000-07-21 00:00:00,18
2000-07-24 00:00:00,15.23809524
2000-07-25 00:00:00,15.71428571
2000-07-26 00:00:00,16.52173913
2000-07-27 00:00:00,16.31578947
2000-07-28 00:00:00,18.33333333
2000-07-31 00:00:00,19.07407407
2000-08-01 00:00:00,19.62962963
2000-08-02 00:00:00,20.57692308
2000-08-03 00:00:00,21.25
2000-08-04 00:00:00,21.06060606
2000-08-07 00:00:00,19.5
2000-08-08 00:00:00,20.55555556
2000-08-09 00:00:00,21.5625
2000-08-10 00:00:00,20.66666667
2000-08-11 00:00:00,22.77777778
2000-08-14 00:00:00,10.83333333
2000-08-15 00:00:00,10.55555556
2000-08-16 00:00:00,9.736842105
2000-08-17 00:00:00,7.333333333
2000-08-18 00:00:00,5
2000-08-21 00:00:00,4.166666667
2000-08-22 00:00:00,5.192307692
2000-08-23 00:00:00,5.454545455
2000-08-24 00:00:00,5.416666667
2000-08-25 00:00:00,5.625
2000-08-28 00:00:00,5.277777778
2000-08-30 00:00:00,3.522727273
2000-08-31 00:00:00,3.604651163
2000-09-01 00:00:00,4.02173913
2000-09-04 00:00:00,5
2000-09-05 00:00:00,6.5
2000-09-06 00:00:00,7.1875
2000-09-07 00:00:00,7.894736842
2000-09-08 00:00:00,8.823529412
2000-09-11 00:00:00,9.210526316
2000-09-12 00:00:00,9.473684211
2000-09-13 00:00:00,10.5
2000-09-14 00:00:00,10
2000-09-18 00:00:00,10.9375
2000-09-19 00:00:00,11.78571429
2000-09-20 00:00:00,12.17391304
2000-09-21 00:00:00,12.64705882
2000-09-22 00:00:00,13
2000-09-25 00:00:00,9.782608696
2000-09-26 00:00:00,12.1875
2000-09-27 00:00:00,12.8125
2000-09-28 00:00:00,11.07142857
